	urls
276	https://www.cars-data.com/en/volkswagen-e-golf-2017/4096
277	https://www.cars-data.com/en/volkswagen-golf-2017/4094
278	https://www.cars-data.com/en/volkswagen-golf-2017/4098
279	https://www.cars-data.com/en/volkswagen-golf-variant-2017/4100
280	https://www.cars-data.com/en/volkswagen-polo-2017/4348
281	https://www.cars-data.com/en/volkswagen-t-roc-2017/4350
282	https://www.cars-data.com/en/volkswagen-tiguan-allspace-2017/4351
283	https://www.cars-data.com/en/volvo-v90-cross-country-2017/4113
284	https://www.cars-data.com/en/volvo-xc60-2017/4114
285	https://www.cars-data.com/en/abarth-124-spider-2016/3560
286	https://www.cars-data.com/en/abarth-595-2016/3561
287	https://www.cars-data.com/en/abarth-595-cabrio-2016/3562
288	https://www.cars-data.com/en/alfa-romeo-giulia-2016/3695
289	https://www.cars-data.com/en/alfa-romeo-giulietta-2016/3401
290	https://www.cars-data.com/en/alfa-romeo-mito-2016/3696
291	https://www.cars-data.com/en/aston-martin-db11-coupe-2016/3563
292	https://www.cars-data.com/en/audi-a3-2016/3704
293	https://www.cars-data.com/en/audi-a3-cabriolet-2016/3715
294	https://www.cars-data.com/en/audi-a3-limousine-2016/3711
295	https://www.cars-data.com/en/audi-a3-sportback-2016/3706
296	https://www.cars-data.com/en/audi-a4-allroad-2016/3719
297	https://www.cars-data.com/en/audi-a5-coupe-2016/3724
298	https://www.cars-data.com/en/audi-q2-2016/3734
299	https://www.cars-data.com/en/audi-r8-2016/3403
300	https://www.cars-data.com/en/audi-r8-coupe-2016/3738
301	https://www.cars-data.com/en/audi-r8-spyder-2016/3739
302	https://www.cars-data.com/en/audi-r8-spyder-2016/4137
303	https://www.cars-data.com/en/audi-s3-2016/3705
304	https://www.cars-data.com/en/audi-s3-cabriolet-2016/3717
305	https://www.cars-data.com/en/audi-s3-limousine-2016/3713
306	https://www.cars-data.com/en/audi-s3-sportback-2016/3709
307	https://www.cars-data.com/en/audi-s4-2016/3718
308	https://www.cars-data.com/en/audi-s4-avant-2016/3721
309	https://www.cars-data.com/en/audi-s5-coupe-2016/3726
310	https://www.cars-data.com/en/bentley-bentayga-2016/3570
311	https://www.cars-data.com/en/bentley-bentayga-2016/4140
312	https://www.cars-data.com/en/bmw-3-serie-gran-turismo-2016/3742
313	https://www.cars-data.com/en/citroen-c3-2016/3766
314	https://www.cars-data.com/en/citroen-c4-picasso-2016/3767
315	https://www.cars-data.com/en/citroen-grand-c4-picasso-2016/3768
316	https://www.cars-data.com/en/dacia-logan-mcv-2016/3583
317	https://www.cars-data.com/en/dacia-sandero-2016/3584
318	https://www.cars-data.com/en/ds-3-2016/3554
319	https://www.cars-data.com/en/ds-3-cabrio-2016/3556
320	https://www.cars-data.com/en/ds-ds3-2016/4359
321	https://www.cars-data.com/en/ds-ds3-cabrio-2016/4361
322	https://www.cars-data.com/en/ferrari-gtc4-2016/3782
323	https://www.cars-data.com/en/fiat-124-spider-2016/3591
324	https://www.cars-data.com/en/fiat-fullback-double-cab-2016/3789
325	https://www.cars-data.com/en/fiat-talento-combi-2016/3798
326	https://www.cars-data.com/en/fiat-tipo-2016/3800
327	https://www.cars-data.com/en/ford-edge-2016/3605
328	https://www.cars-data.com/en/ford-ka-2016/3811
329	https://www.cars-data.com/en/ford-kuga-2016/3812
330	https://www.cars-data.com/en/hyundai-i40-2016/3835
331	https://www.cars-data.com/en/hyundai-ioniq-2016/3836
332	https://www.cars-data.com/en/hyundai-ioniq-electric-2016/4200
333	https://www.cars-data.com/en/hyundai-santa-fe-2016/3837
334	https://www.cars-data.com/en/infiniti-q60-coupe-2016/3607
335	https://www.cars-data.com/en/infiniti-qx30-2016/3608
336	https://www.cars-data.com/en/kia-carens-2016/3611
337	https://www.cars-data.com/en/kia-niro-2016/3840
338	https://www.cars-data.com/en/kia-optima-sw-2016/3841
339	https://www.cars-data.com/en/kia-sportage-2016/3441
340	https://www.cars-data.com/en/lamborghini-huracan-spyder-2016/4231
341	https://www.cars-data.com/en/land-rover-discovery-2016/3851
342	https://www.cars-data.com/en/land-rover-range-rover-evoque-convertible-2016/3449
343	https://www.cars-data.com/en/lexus-gs-2016/3450
344	https://www.cars-data.com/en/maserati-levante-2016/3622
345	https://www.cars-data.com/en/maserati-quattroporte-2016/3623
346	https://www.cars-data.com/en/mazda-3-2016/3852
347	https://www.cars-data.com/en/mazda-3-sedan-2016/3853
348	https://www.cars-data.com/en/mclaren-570gt-2016/4365
349	https://www.cars-data.com/en/mercedes-benz-amg-gt-roadster-2016/3866
350	https://www.cars-data.com/en/mercedes-benz-c-class-cabriolet-2016/3872
351	https://www.cars-data.com/en/mercedes-benz-cla-coupe-2016/3875
352	https://www.cars-data.com/en/mercedes-benz-cla-shooting-brake-2016/3877
353	https://www.cars-data.com/en/mercedes-benz-e-class-2016/3883
354	https://www.cars-data.com/en/mercedes-benz-e-class-estate-2016/3886
355	https://www.cars-data.com/en/mercedes-benz-glc-coupe-2016/3894
356	https://www.cars-data.com/en/mercedes-benz-s-class-cabriolet-2016/3900
357	https://www.cars-data.com/en/mercedes-benz-sl-2016/3901
358	https://www.cars-data.com/en/mercedes-benz-slc-2016/3902
359	https://www.cars-data.com/en/mini-cabrio-2016/3461
360	https://www.cars-data.com/en/mitsubishi-asx-2016/3628
361	https://www.cars-data.com/en/mitsubishi-space-star-2016/3465
362	https://www.cars-data.com/en/nissan-gt-r-2016/3925
363	https://www.cars-data.com/en/opel-astra-sports-tourer-2016/3949
364	https://www.cars-data.com/en/opel-mokka-x-2016/3957
365	https://www.cars-data.com/en/opel-zafira-2016/3960
366	https://www.cars-data.com/en/peugeot-2008-2016/3961
367	https://www.cars-data.com/en/peugeot-3008-2016/3962
368	https://www.cars-data.com/en/peugeot-3008-2016/4295
369	https://www.cars-data.com/en/peugeot-expert-combi-2016/3979
370	https://www.cars-data.com/en/peugeot-traveller-2016/3980
371	https://www.cars-data.com/en/porsche-718-boxster-2016/3635
372	https://www.cars-data.com/en/porsche-718-cayman-2016/3634
373	https://www.cars-data.com/en/porsche-panamera-2016/3984
374	https://www.cars-data.com/en/renault-clio-2016/3995
375	https://www.cars-data.com/en/renault-clio-estate-2016/3997
376	https://www.cars-data.com/en/renault-grand-scenic-2016/4007
377	https://www.cars-data.com/en/renault-megane-2016/3512
378	https://www.cars-data.com/en/renault-megane-estate-2016/4003
379	https://www.cars-data.com/en/renault-scenic-2016/4008
380	https://www.cars-data.com/en/renault-talisman-2016/3513
381	https://www.cars-data.com/en/renault-talisman-estate-2016/3514
382	https://www.cars-data.com/en/renault-zoe-2016/4010
383	https://www.cars-data.com/en/rolls-royce-dawn-2016/3646
384	https://www.cars-data.com/en/seat-ateca-2016/3652
385	https://www.cars-data.com/en/skoda-citigo-2016/3656
386	https://www.cars-data.com/en/smart-fortwo-cabrio-2016/3528
387	https://www.cars-data.com/en/ssangyong-xlv-2016/4032
388	https://www.cars-data.com/en/suzuki-baleno-2016/4042
389	https://www.cars-data.com/en/suzuki-ignis-2016/4044
390	https://www.cars-data.com/en/suzuki-s-cross-2016/4046
391	https://www.cars-data.com/en/tesla-model-s-2016/3661
392	https://www.cars-data.com/en/tesla-model-x-2016/3532
393	https://www.cars-data.com/en/toyota-c-hr-2016/4053
394	https://www.cars-data.com/en/toyota-gt86-2016/4070
395	https://www.cars-data.com/en/toyota-hilux-dubbele-cabine-2016/4071
396	https://www.cars-data.com/en/toyota-prius-2016/3537
397	https://www.cars-data.com/en/toyota-proace-shuttle-2016/4079
398	https://www.cars-data.com/en/toyota-proace-verso-2016/4343
399	https://www.cars-data.com/en/toyota-rav4-2016/3538
400	https://www.cars-data.com/en/volkswagen-amarok-dubbele-cabine-2016/3663
401	https://www.cars-data.com/en/volkswagen-beetle-cabrio-2016/3665
402	https://www.cars-data.com/en/volkswagen-beetle-coupe-2016/3664
403	https://www.cars-data.com/en/volkswagen-e-up-2016/4107
404	https://www.cars-data.com/en/volkswagen-tiguan-2016/3542
405	https://www.cars-data.com/en/volkswagen-up-2016/4109
406	https://www.cars-data.com/en/volkswagen-up-2016/4106
407	https://www.cars-data.com/en/volvo-s90-2016/3546
408	https://www.cars-data.com/en/volvo-v40-2016/3547
409	https://www.cars-data.com/en/volvo-v40-cross-country-2016/3548
410	https://www.cars-data.com/en/volvo-v90-2016/3550
411	https://www.cars-data.com/en/alfa-romeo-4c-spider-2015/3254
412	https://www.cars-data.com/en/audi-a1-2015/3258
413	https://www.cars-data.com/en/audi-a1-sportback-2015/3261
414	https://www.cars-data.com/en/audi-a4-2015/3402
415	https://www.cars-data.com/en/audi-a4-avant-2015/3720
416	https://www.cars-data.com/en/audi-q3-2015/3269
417	https://www.cars-data.com/en/audi-q7-2015/3270
418	https://www.cars-data.com/en/audi-rs3-sportback-2015/3707
419	https://www.cars-data.com/en/audi-rs6-avant-2015/3732
420	https://www.cars-data.com/en/audi-rs7-sportback-2015/3267
421	https://www.cars-data.com/en/audi-s1-2015/3260
422	https://www.cars-data.com/en/audi-s1-sportback-2015/3263
